cod_ibge,municipio,obitos
150180,Breves,4
150190,Bujaru,6
150200,Cachoeira do Arari,3
150195,Cachoeira do Piriá,3
150210,Cametá,16
150215,Canaã dos Carajás,18
150220,Capanema,12
150230,Capitão Poço,10
150240,Castanhal,49
150260,Colares,1
150270,Conceição do Araguaia,10
150275,Concórdia do Pará,4
150276,Cumaru do Norte,2
150277,Curionópolis,6
150285,Curuá,1
150290,Curuçá,2
150293,Dom Eliseu,16
150295,Eldorado do Carajás,15
150304,Floresta do Araguaia,10
150307,Garrafão do Norte,15
150309,Goianésia do Pará,13
150310,Gurupá,2
150320,Igarapé-Açu,5
150330,Igarapé-Miri,6
150340,Inhangapi,1
150345,Ipixuna do Pará,6
150350,Irituia,12
150360,Itaituba,39
150370,Itupiranga,9
150375,Jacareacanga,1
150380,Jacundá,10
150390,Juruti,7
150405,Mãe do Rio,5
150410,Magalhães Barata,1
150420,Marabá,98
150430,Maracanã,4
150440,Marapanim,1
150442,Marituba,6
150445,Medicilândia,12
150460,Mocajuba,2
150470,Moju,5
150475,Mojuí dos Campos,3
150480,Monte Alegre,10
150490,Muaná,3
150495,Nova Esperança do Piriá,4
150497,Nova Ipixuna,5
150500,Nova Timboteua,2
150503,Novo Progresso,16
150506,Novo Repartimento,21
150510,Óbidos,5
150520,Oeiras do Pará,1
150530,Oriximiná,6
150540,Ourém,4
150543,Ourilândia do Norte,7
150548,Pacajá,13
150549,Palestina do Pará,5
150550,Paragominas,43
150553,Parauapebas,35
150555,Pau D'Arco,1
150560,Peixe-Boi,7
150565,Placas,6
150570,Ponta de Pedras,1
150580,Portel,3
150600,Prainha,4
150610,Primavera,2
150611,Quatipuru,1
150613,Redenção,74
150616,Rio Maria,8
150618,Rondon do Pará,10
150619,Rurópolis,7
150620,Salinópolis,4
150630,Salvaterra,5
150635,Santa Bárbara do Pará,4
150650,Santa Izabel do Pará,11
150655,Santa Luzia do Pará,3
150658,Santa Maria das Barreiras,3
150660,Santa Maria do Pará,14
150670,Santana do Araguaia,11
150680,Santarém,87
150700,Santo Antônio do Tauá,6
150710,São Caetano de Odivelas,1
150715,São Domingos do Araguaia,8
150730,São Félix do Xingu,25
150740,São Francisco do Pará,12
150745,São Geraldo do Araguaia,8
150746,São João da Ponta,2
150747,São João de Pirabas,2
150750,São João do Araguaia,4
150760,São Miguel do Guamá,11
150770,São Sebastião da Boa Vista,1
150795,Tailândia,24
150797,Terra Santa,3
150800,Tomé-Açu,13
150803,Tracuateua,5
150805,Trairão,8
150808,Tucumã,13
150810,Tucuruí,48
150812,Ulianópolis,14
150815,Uruará,11
150820,Vigia,11
150830,Viseu,4
150835,Vitória do Xingu,6
150840,Xinguara,18
160020,Calçoene,2
160023,Ferreira Gomes,1
160025,Itaubal,1
160027,Laranjal do Jari,4
160030,Macapá,76
160050,Oiapoque,2
160053,Porto Grande,1
160060,Santana,6
160005,Serra do Navio,1
160070,Tartarugalzinho,3
170025,Abreulândia,1
170030,Aguiarnópolis,2
170035,Aliança do Tocantins,3
170040,Almas,4
170070,Alvorada,19
170100,Ananás,1
170105,Angico,1
170110,Aparecida do Rio Negro,7
170190,Araguacema,2
170210,Araguaína,94
170215,Araguanã,2
170220,Araguatins,2
170230,Arapoema,4
170240,Arraias,3
170255,Augustinópolis,13
170290,Axixá do Tocantins,2
170300,Babaçulândia,4
170305,Bandeirantes do Tocantins,3
170307,Barra do Ouro,3
170310,Barrolândia,5
170320,Bernardo Sayão,1
170330,Bom Jesus do Tocantins,1
170360,Brasilândia do Tocantins,1
170370,Brejinho de Nazaré,1
170380,Buriti do Tocantins,3
170382,Cachoeirinha,2
170384,Campos Lindos,3
170386,Cariri do Tocantins,2
170388,Carmolândia,2
170410,Centenário,3
170510,Chapada da Natividade,5
170550,Colinas do Tocantins,9
171670,Colméia,2
170555,Combinado,1
170560,Conceição do Tocantins,1
170600,Couto Magalhães,3
170610,Cristalândia,3
170625,Crixás do Tocantins,1
170650,Darcinópolis,2
170700,Dianópolis,11
170710,Divinópolis do Tocantins,6
170720,Dois Irmãos do Tocantins,3
170730,Dueré,1
170740,Esperantina,2
170755,Fátima,1
170770,Filadélfia,3
170820,Formoso do Araguaia,3
170900,Goiatins,2
170930,Guaraí,18
170950,Gurupi,50
171150,Jaú do Tocantins,1
171190,Lagoa da Confusão,2
171195,Lagoa do Tocantins,1
171240,Lizarda,3
171250,Marianópolis do Tocantins,2
171280,Maurilândia do Tocantins,1
171320,Miracema do Tocantins,5
171330,Miranorte,7
171360,Monte do Carmo,7
171420,Natividade,7
171430,Nazaré,1
171488,Nova Olinda,10
171500,Nova Rosalândia,1
171510,Novo Acordo,2
171525,Novo Jardim,1
171550,Oliveira de Fátima,4
172100,Palmas,106
171570,Palmeirante,3
171380,Palmeiras do Tocantins,3
171575,Palmeirópolis,3
171610,Paraíso do Tocantins,9
171620,Paranã,3
171630,Pau D'Arco,1
171650,Pedro Afonso,1
171660,Peixe,1
171665,Pequizeiro,3
171720,Piraquê,1
171750,Pium,1
171780,Ponte Alta do Bom Jesus,2
171790,Ponte Alta do Tocantins,3
171820,Porto Nacional,22
171840,Presidente Kennedy,2
171845,Pugmil,4
171855,Riachinho,1
171870,Rio dos Bois,1
171884,Sandolândia,1
171886,Santa Fé do Araguaia,1
171888,Santa Maria do Tocantins,1
171889,Santa Rita do Tocantins,3
171890,Santa Rosa do Tocantins,5
171900,Santa Tereza do Tocantins,3
172000,Santa Terezinha do Tocantins,1
172010,São Bento do Tocantins,2
172020,São Miguel do Tocantins,3
172030,São Sebastião do Tocantins,3
172049,São Valério,1
172065,Silvanópolis,2
172080,Sítio Novo do Tocantins,1
172090,Taguatinga,2
172097,Talismã,3
172110,Tocantínia,4
172120,Tocantinópolis,5
172125,Tupirama,2
172208,Wanderlândia,5
172210,Xambioá,1
210005,Açailândia,29
210010,Afonso Cunha,1
210020,Alcântara,3
210030,Aldeias Altas,6
210040,Altamira do Maranhão,3
210043,Alto Alegre do Maranhão,4
210047,Alto Alegre do Pindaré,5
210050,Alto Parnaíba,4
210060,Amarante do Maranhão,12
210070,Anajatuba,8
210080,Anapurus,9
210083,Apicum-Açu,1
210087,Araguanã,5
210090,Araioses,3
210095,Arame,4
210100,Arari,6
210110,Axixá,1
210120,Bacabal,28
210125,Bacabeira,15
210130,Bacuri,6
210140,Balsas,23
210150,Barão de Grajaú,7
210160,Barra do Corda,24
210170,Barreirinhas,10
210177,Bela Vista do Maranhão,2
210173,Belágua,1
210180,Benedito Leite,2
210190,Bequimão,2
210197,Boa Vista do Gurupi,1
210200,Bom Jardim,2
210203,Bom Jesus das Selvas,5
210207,Bom Lugar,1
210210,Brejo,7
210220,Buriti,7
210230,Buriti Bravo,4
210232,Buriticupu,23
210235,Buritirana,4
210237,Cachoeira Grande,1
210240,Cajapió,1
210250,Cajari,1
210255,Campestre do Maranhão,4
210260,Cândido Mendes,2
210270,Cantanhede,1
210275,Capinzal do Norte,5
210280,Carolina,13
210290,Carutapera,5
210300,Caxias,69
210310,Cedral,1
210312,Central do Maranhão,3
210315,Centro do Guilherme,4
210320,Chapadinha,11
210325,Cidelândia,1
210330,Codó,35
210340,Coelho Neto,6
210350,Colinas,17
210355,Conceição do Lago-Açu,1
210360,Coroatá,27
210370,Cururupu,8
210375,Davinópolis,1
210380,Dom Pedro,9
210390,Duque Bacelar,1
210400,Esperantinópolis,7
210405,Estreito,11
210407,Feira Nova do Maranhão,1
210408,Fernando Falcão,1
210409,Formosa da Serra Negra,2
210410,Fortaleza dos Nogueiras,2
210420,Fortuna,1
210430,Godofredo Viana,1
210440,Gonçalves Dias,3
210450,Governador Archer,4
210455,Governador Edison Lobão,7
210460,Governador Eugênio Barros,1
210462,Governador Luiz Rocha,2
210465,Governador Newton Bello,1
210467,Governador Nunes Freire,9
210470,Graça Aranha,1
210480,Grajaú,29
210490,Guimarães,1
210500,Humberto de Campos,5
210510,Icatu,1
210520,Igarapé Grande,3
210530,Imperatriz,189
210540,Itapecuru Mirim,16
210542,Itinga do Maranhão,8
210550,João Lisboa,5
210560,Joselândia,2
210565,Junco do Maranhão,5
210570,Lago da Pedra,4
210580,Lago do Junco,1
210594,Lago dos Rodrigues,2
210590,Lago Verde,1
210592,Lagoa do Mato,2
210596,Lagoa Grande do Maranhão,3
210600,Lima Campos,2
210610,Loreto,2
210630,Magalhães de Almeida,1
210632,Maracaçumé,3
210640,Mata Roma,6
210650,Matinha,1
210660,Matões,5
210663,Matões do Norte,2
210675,Miranda do Norte,12
210680,Mirinzal,4
210690,Monção,2
210700,Montes Altos,2
210720,Nina Rodrigues,1
210725,Nova Colinas,4
210730,Nova Iorque,1
210735,Nova Olinda do Maranhão,4
210740,Olho d'Água das Cunhãs,3
210745,Olinda Nova do Maranhão,1
210750,Paço do Lumiar,5
210760,Palmeirândia,3
210770,Paraibano,11
210780,Parnarama,6
210790,Passagem Franca,6
210800,Pastos Bons,4
210805,Paulino Neves,2
210810,Paulo Ramos,6
210820,Pedreiras,7
210825,Pedro do Rosário,1
210830,Penalva,2
210840,Peri Mirim,4
210845,Peritoró,27
210850,Pindaré-Mirim,5
210860,Pinheiro,35
210870,Pio XII,5
210880,Pirapemas,2
210900,Porto Franco,7
210905,Porto Rico do Maranhão,1
210910,Presidente Dutra,82
210920,Presidente Juscelino,1
210923,Presidente Médici,1
210927,Presidente Sarney,6
210930,Presidente Vargas,1
210940,Primeira Cruz,5
210950,Riachão,3
210955,Ribamar Fiquene,3
210960,Rosário,7
210970,Sambaíba,1
210975,Santa Filomena do Maranhão,1
210980,Santa Helena,5
210990,Santa Inês,20
211000,Santa Luzia,18
211003,Santa Luzia do Paruá,5
211010,Santa Quitéria do Maranhão,10
211020,Santa Rita,8
211030,Santo Antônio dos Lopes,2
211040,São Benedito do Rio Preto,2
211050,São Bento,2
211060,São Bernardo,4
211065,São Domingos do Azeitão,10
211070,São Domingos do Maranhão,14
211080,São Félix de Balsas,2
211085,São Francisco do Brejão,4
211100,São João Batista,2
211102,São João do Carú,2
211107,São João do Soter,4
211110,São João dos Patos,10
211120,São José de Ribamar,9
211125,São José dos Basílios,1
211130,São Luís,245
211140,São Luís Gonzaga do Maranhão,2
211150,São Mateus do Maranhão,12
211153,São Pedro da Água Branca,2
211157,São Pedro dos Crentes,1
211160,São Raimundo das Mangabeiras,9
211163,São Raimundo do Doca Bezerra,3
211167,São Roberto,1
211170,São Vicente Ferrer,5
211174,Senador Alexandre Costa,4
211176,Senador La Rocque,2
211178,Serrano do Maranhão,1
211180,Sítio Novo,7
211190,Sucupira do Norte,2
211200,Tasso Fragoso,3
211210,Timbiras,2
211220,Timon,29
211227,Tufilândia,1
211230,Tuntum,2
211240,Turiaçu,4
211245,Turilândia,3
211250,Tutóia,16
211260,Urbano Santos,2
211270,Vargem Grande,9
211280,Viana,9
211285,Vila Nova dos Martírios,3
211290,Vitória do Mearim,12
211300,Vitorino Freire,4
211400,Zé Doca,14
220005,Acauã,2
220010,Agricolândia,1
220020,Água Branca,4
220025,Alagoinha do Piauí,2
220030,Alto Longá,3
220040,Altos,7
220045,Alvorada do Gurguéia,1
220050,Amarante,2
220060,Angical do Piauí,3
220070,Anísio de Abreu,1
220080,Antônio Almeida,3
220090,Aroazes,1
220095,Aroeiras do Itaim,1
220105,Assunção do Piauí,1
220110,Avelino Lopes,1
220115,Baixa Grande do Ribeiro,6
220117,Barra D'Alcântara,3
220120,Barras,8
220140,Barro Duro,4
220150,Batalha,5
220157,Belém do Piauí,1
220160,Beneditinos,4
220170,Bertolínia,3
220173,Betânia do Piauí,1
220177,Boa Hora,1
220180,Bocaina,1
220190,Bom Jesus,21
220191,Bom Princípio do Piauí,2
220192,Bonfim do Piauí,1
220194,Boqueirão do Piauí,3
220196,Brasileira,1
220200,Buriti dos Lopes,2
220202,Buriti dos Montes,1
220205,Cabeceiras do Piauí,1
220207,Cajazeiras do Piauí,3
220208,Cajueiro da Praia,2
220209,Caldeirão Grande do Piauí,1
220210,Campinas do Piauí,1
220211,Campo Alegre do Fidalgo,3
220217,Campo Largo do Piauí,2
220220,Campo Maior,14
220225,Canavieira,1
220230,Canto do Buriti,7
220240,Capitão de Campos,3
220245,Capitão Gervásio Oliveira,1
220250,Caracol,2
220260,Castelo do Piauí,6
220265,Caxingó,1
220270,Cocal,7
220271,Cocal de Telha,3
220272,Cocal dos Alves,1
220273,Coivaras,1
220275,Colônia do Gurguéia,1
220277,Colônia do Piauí,2
220280,Conceição do Canindé,1
220290,Corrente,11
220300,Cristalândia do Piauí,1
220320,Curimatá,3
220323,Currais,1
220330,Demerval Lobão,3
220340,Dom Expedito Lopes,2
220345,Dom Inocêncio,2
220342,Domingos Mourão,3
220350,Elesbão Veloso,5
220360,Eliseu Martins,5
220370,Esperantina,5
220380,Flores do Piauí,2
220385,Floresta do Piauí,2
220390,Floriano,22
220410,Francisco Ayres,3
220415,Francisco Macedo,1
220420,Francisco Santos,6
220430,Fronteiras,7
220435,Geminiano,3
220440,Gilbués,1
220450,Guadalupe,5
220465,Ilha Grande,3
220470,Inhuma,5
220480,Ipiranga do Piauí,3
220490,Isaías Coelho,4
220500,Itainópolis,3
220510,Itaueira,3
220515,Jacobina do Piauí,1
220520,Jaicós,7
220527,Jatobá do Piauí,2
220530,Jerumenha,4
220540,Joaquim Pires,1
220545,Joca Marques,1
220550,José de Freitas,11
220553,Jurema,3
220555,Lagoa Alegre,1
220557,Lagoa de São Francisco,1
220556,Lagoa do Barro do Piauí,1
220558,Lagoa do Piauí,1
220554,Lagoinha do Piauí,1
220560,Landri Sales,1
220570,Luís Correia,6
220580,Luzilândia,2
220585,Madeiro,2
220590,Manoel Emídio,1
220595,Marcolândia,4
220600,Marcos Parente,3
220610,Matias Olímpio,2
220620,Miguel Alves,10
220635,Milton Brandão,2
220640,Monsenhor Gil,2
220650,Monsenhor Hipólito,2
220660,Monte Alegre do Piauí,1
220665,Morro Cabeça no Tempo,2
220669,Murici dos Portelas,2
220672,Nazária,1
220795,Nova Santa Rita,1
220700,Oeiras,12
220720,Padre Marcos,1
220730,Paes Landim,1
220750,Palmeirais,2
220755,Paquetá,1
220770,Parnaíba,63
220775,Passagem Franca do Piauí,1
220777,Patos do Piauí,4
220780,Paulistana,6
220785,Pavussu,1
220790,Pedro II,13
220793,Pedro Laurentino,1
220800,Picos,48
220810,Pimenteiras,3
220820,Pio IX,3
220830,Piracuruca,6
220840,Piripiri,16
220850,Porto,5
220860,Prata do Piauí,1
220865,Queimada Nova,1
220870,Redenção do Gurguéia,1
220880,Regeneração,9
220890,Ribeiro Gonçalves,2
220915,Santa Cruz dos Milagres,2
220920,Santa Filomena,4
220935,Santana do Piauí,1
220940,Santo Antônio de Lisboa,3
220955,São Braz do Piauí,2
220960,São Félix do Piauí,2
220965,São Francisco de Assis do Piauí,2
220970,São Francisco do Piauí,1
220975,São Gonçalo do Gurguéia,1
220980,São Gonçalo do Piauí,1
220985,São João da Canabrava,1
220987,São João da Fronteira,2
220990,São João da Serra,3
220995,São João da Varjota,2
220997,São João do Arraial,3
221000,São João do Piauí,4
221020,São José do Piauí,2
221030,São Julião,1
221035,São Lourenço do Piauí,1
221037,São Luis do Piauí,1
221039,São Miguel do Fidalgo,1
221040,São Miguel do Tapuio,5
221050,São Pedro do Piauí,5
221060,São Raimundo Nonato,16
221063,Sebastião Leal,1
221070,Simões,9
221080,Simplício Mendes,10
221090,Socorro do Piauí,1
221093,Sussuapara,3
221097,Tanque do Piauí,1
221100,Teresina,427
221110,União,9
221120,Uruçuí,9
221130,Valença do Piauí,13
221135,Várzea Branca,2
221140,Várzea Grande,2
221150,Vera Mendes,1
221170,Wall Ferraz,2
230010,Abaiara,1
230015,Acarape,2
230020,Acaraú,12
230030,Acopiara,14
230040,Aiuaba,6
230050,Alcântaras,3
230060,Altaneira,1
230070,Alto Santo,5
230075,Amontada,8
230080,Antonina do Norte,3
230090,Apuiarés,6
230100,Aquiraz,10
230110,Aracati,7
230120,Aracoiaba,6
230125,Ararendá,3
230130,Araripe,9
230140,Aratuba,1
230150,Arneiroz,3
230160,Assaré,3
230170,Aurora,2
230190,Barbalha,42
230195,Barreira,4
230200,Barro,3
230205,Barroquinha,3
230210,Baturité,3
230220,Beberibe,12
230230,Bela Cruz,9
230240,Boa Viagem,13
230250,Brejo Santo,14
230260,Camocim,8
230270,Campos Sales,5
230280,Canindé,22
230290,Capistrano,1
230300,Caridade,2
230310,Cariré,5
230320,Caririaçu,3
230330,Cariús,3
230340,Carnaubal,7
230350,Cascavel,14
230360,Catarina,2
230365,Catunda,4
230370,Caucaia,55
230380,Cedro,7
230390,Chaval,2
230393,Choró,1
230395,Chorozinho,6
230400,Coreaú,10
230410,Crateús,15
230420,Crato,13
230423,Croatá,9
230425,Cruz,7
230426,Deputado Irapuan Pinheiro,5
230427,Ererê,2
230428,Eusébio,5
230430,Farias Brito,5
230435,Forquilha,2
230440,Fortaleza,543
230450,Frecheirinha,3
230460,General Sampaio,2
230465,Graça,3
230470,Granja,7
230490,Groaíras,1
230495,Guaiúba,5
230500,Guaraciaba do Norte,10
230510,Guaramiranga,1
230520,Hidrolândia,5
230523,Horizonte,12
230526,Ibaretama,2
230530,Ibiapina,2
230535,Icapuí,4
230540,Icó,20
230550,Iguatu,22
230560,Independência,10
230565,Ipaporanga,1
230570,Ipaumirim,7
230580,Ipu,11
230590,Ipueiras,7
230600,Iracema,4
230610,Irauçuba,2
230625,Itaitinga,6
230630,Itapagé,10
230640,Itapipoca,28
230650,Itapiúna,2
230655,Itarema,6
230660,Itatira,7
230670,Jaguaretama,3
230680,Jaguaribara,11
230690,Jaguaribe,11
230700,Jaguaruana,5
230710,Jardim,4
230720,Jati,4
230725,Jijoca de Jericoacoara,6
230730,Juazeiro do Norte,87
230740,Jucás,14
230750,Lavras da Mangabeira,8
230760,Limoeiro do Norte,23
230763,Madalena,3
230765,Maracanaú,20
230770,Maranguape,18
230780,Marco,9
230790,Martinópole,2
230800,Massapê,12
230810,Mauriti,5
230820,Meruoca,1
230830,Milagres,7
230835,Milhã,9
230837,Miraíma,2
230840,Missão Velha,7
230850,Mombaça,9
230860,Monsenhor Tabosa,4
230870,Morada Nova,18
230880,Moraújo,1
230890,Morrinhos,4
230900,Mucambo,3
230920,Nova Olinda,4
230930,Nova Russas,7
230940,Novo Oriente,4
230945,Ocara,8
230950,Orós,3
230960,Pacajus,13
230970,Pacatuba,3
230980,Pacoti,3
230990,Pacujá,1
231000,Palhano,3
231010,Palmácia,1
231020,Paracuru,10
231025,Paraipaba,5
231030,Parambu,8
231040,Paramoti,2
231050,Pedra Branca,14
231060,Penaforte,5
231070,Pentecoste,3
231080,Pereiro,5
231085,Pindoretama,1
231090,Piquet Carneiro,4
231095,Pires Ferreira,2
231110,Porteiras,4
231123,Potiretama,5
231126,Quiterianópolis,7
231130,Quixadá,6
231135,Quixelô,9
231140,Quixeramobim,11
231150,Quixeré,7
231160,Redenção,1
231170,Reriutaba,3
231180,Russas,11
231190,Saboeiro,2
231195,Salitre,3
231220,Santa Quitéria,5
231200,Santana do Acaraú,3
231210,Santana do Cariri,3
231230,São Benedito,10
231240,São Gonçalo do Amarante,22
231250,São João do Jaguaribe,4
231260,São Luís do Curu,1
231270,Senador Pompeu,6
231280,Senador Sá,1
231290,Sobral,252
231300,Solonópole,9
231310,Tabuleiro do Norte,13
231320,Tamboril,3
231325,Tarrafas,1
231330,Tauá,19
231335,Tejuçuoca,1
231340,Tianguá,21
231350,Trairi,4
231355,Tururu,4
231360,Ubajara,7
231370,Umari,1
231375,Umirim,2
231380,Uruburetama,2
231390,Uruoca,4
231395,Varjota,1
231400,Várzea Alegre,9
231410,Viçosa do Ceará,17
240010,Acari,1
240020,Açu,9
240050,Alexandria,2
240060,Almino Afonso,1
240070,Alto do Rodrigues,8
240080,Angicos,3
240090,Antônio Martins,1
240100,Apodi,5
240110,Areia Branca,4
240120,Arês,1
240130,Augusto Severo,4
240140,Baía Formosa,1
240145,Baraúna,8
240160,Bento Fernandes,2
240170,Bom Jesus,2
240180,Brejinho,3
240190,Caiçara do Rio do Vento,1
240200,Caicó,13
240210,Campo Redondo,3
240220,Canguaretama,2
240230,Caraúbas,11
240250,Carnaubais,4
240260,Ceará-Mirim,8
240270,Cerro Corá,4
240280,Coronel Ezequiel,1
240310,Currais Novos,6
240320,Doutor Severiano,1
240360,Extremoz,3
240370,Felipe Guerra,2
240400,Frutuoso Gomes,1
240420,Goianinha,3
240450,Guamaré,8
240460,Ielmo Marinho,2
240510,Jandaíra,4
240550,Jardim de Angicos,1
240560,Jardim de Piranhas,1
240580,João Câmara,4
240600,José da Penha,1
240630,Lagoa de Pedras,2
240650,Lagoa Nova,2
240670,Lajes,1
240690,Lucrécia,1
240710,Macaíba,15
240720,Macau,2
240725,Major Sales,3
240730,Marcelino Vieira,2
240740,Martins,2
240750,Maxaranguape,1
240780,Monte Alegre,2
240790,Monte das Gameleiras,1
240800,Mossoró,124
240810,Natal,140
240820,Nísia Floresta,1
240830,Nova Cruz,8
240840,Olho-d'Água do Borges,3
240860,Paraná,1
240870,Paraú,1
240890,Parelhas,2
240325,Parnamirim,17
240910,Passa e Fica,3
240920,Passagem,1
240930,Patu,1
240940,Pau dos Ferros,13
240950,Pedra Grande,1
240980,Pedro Velho,2
240990,Pendências,2
241010,Poço Branco,2
241020,Portalegre,1
241025,Porto do Mangue,1
241040,Pureza,3
241050,Rafael Fernandes,2
241060,Rafael Godeiro,1
241090,Riachuelo,3
240895,Rio do Fogo,1
241100,Rodolfo Fernandes,1
241120,Santa Cruz,13
240933,Santa Maria,1
241140,Santana do Matos,7
241150,Santo Antônio,1
241190,São Francisco do Oeste,1
241200,São Gonçalo do Amarante,8
241210,São João do Sabugi,1
241220,São José de Mipibu,12
241230,São José do Campestre,1
241250,São Miguel,6
241255,São Miguel do Gostoso,1
241260,São Paulo do Potengi,6
241270,São Pedro,1
241300,São Vicente,2
241310,Senador Elói de Souza,4
241320,Senador Georgino Avelino,1
241335,Serra do Mel,1
241350,Serrinha,2
241360,Severiano Melo,1
241370,Sítio Novo,2
241380,Taboleiro Grande,1
241390,Taipu,1
241400,Tangará,1
241410,Tenente Ananias,1
241105,Tibau,1
241420,Tibau do Sul,2
241430,Timbaúba dos Batistas,2
241440,Touros,5
241450,Umarizal,1
241460,Upanema,3
241470,Várzea,1
241480,Vera Cruz,4
241490,Viçosa,1
241500,Vila Flor,1
250010,Água Branca,3
250030,Alagoa Grande,1
250040,Alagoa Nova,3
250053,Alcantil,2
250060,Alhandra,6
250073,Amparo,1
250077,Aparecida,4
250090,Arara,1
250100,Araruna,5
250110,Areia,5
250115,Areia de Baraúnas,1
250120,Areial,3
250130,Aroeiras,3
250135,Assunção,1
250140,Baía da Traição,1
250150,Bananeiras,7
250153,Baraúna,1
250160,Barra de Santa Rosa,3
250157,Barra de Santana,1
250180,Bayeux,8
250190,Belém,5
250200,Belém do Brejo do Cruz,1
250215,Boa Vista,3
250220,Bom Jesus,2
250240,Bonito de Santa Fé,1
250250,Boqueirão,2
250270,Borborema,2
250280,Brejo do Cruz,6
250300,Caaporã,5
250310,Cabaceiras,2
250320,Cabedelo,3
250330,Cachoeira dos Índios,1
250340,Cacimba de Areia,2
250350,Cacimba de Dentro,4
250370,Cajazeiras,18
250380,Caldas Brandão,2
250400,Campina Grande,246
250410,Carrapateira,1
250415,Casserengue,2
250430,Catolé do Rocha,5
250435,Caturité,2
250440,Conceição,4
250450,Condado,1
250460,Conde,1
250470,Congo,3
250480,Coremas,2
250490,Cruz do Espírito Santo,3
250500,Cubati,1
250510,Cuité,7
250520,Cuitegi,2
250535,Damião,5
250540,Desterro,1
250560,Diamante,1
250570,Dona Inês,1
250580,Duas Estradas,1
250600,Esperança,5
250630,Guarabira,18
250640,Gurinhém,3
250650,Gurjão,1
250670,Imaculada,2
250680,Ingá,2
250690,Itabaiana,2
250700,Itaporanga,6
250710,Itapororoca,2
250730,Jacaraú,4
250740,Jericó,2
250750,João Pessoa,221
250770,Juazeirinho,9
250780,Junco do Seridó,4
250790,Juripiranga,1
250800,Juru,3
250820,Lagoa de Dentro,3
250860,Lucena,5
250880,Malta,5
250890,Mamanguape,20
250905,Marcação,3
250910,Mari,3
250920,Massaranduba,3
250939,Maturéia,1
250940,Mogeiro,2
250950,Montadas,1
250960,Monte Horebe,4
