Country,Atlantic,Pacific,Brazil,French Guyana,Suriname,Guyana,Venezuela,Colombia,Ecuador,Peru,Bolivia,Chile,Argentina,Uruguay,Paraguay
Atlantic,0,0,,,,,,,,,,,,,
Pacific,0,0,,,,,,,,,,,,,
Brazil,7491,0,0,,,,,,,,,,,,
French Guyana,378,0,730,0,,,,,,,,,,,
Suriname,386,0,593,510,0,,,,,,,,,,
Guyana,459,0,1606,0,836,0,,,,,,,,,
Venezuela,2800,0,2200,0,0,789,0,,,,,,,,
Colombia,1760,1448,1644,0,0,0,2341,0,,,,,,,
Ecuador,0,2337,0,0,0,0,0,708,0,,,,,,
Peru,0,2414,2995,0,0,0,0,1494,1420,0,,,,,
Bolivia,0,0,3423,0,0,0,0,0,0,1212,0,,,,
Chile,0,6435,0,0,0,0,0,0,0,168,942,0,,,
Argentina,4989,0,1261,0,0,0,0,0,0,0,942,6691,0,,
Uruguay,660,0,1068,0,0,0,0,0,0,0,0,0,541,0,
Paraguay,0,0,1365,0,0,0,0,0,0,0,753,0,2351,0,0
