Country,Supercontinent,Continent,UN_Region,Area_km2,Pop_2016,HDI_2017,Code,GDP_2017
Andorra,Eurasia,Europe,Southern Europe,470,77281,0.858,AND,39146.54884
Bosnia and Herzegovina,Eurasia,Europe,Southern Europe,51210,3516816,0.768,BIH,5148.208517
Croatia,Eurasia,Europe,Southern Europe,56590,4174349,0.831,HRV,13382.71985
Kosovo,Eurasia,Europe,Southern Europe,10887,1816200,0.739,XKX,3957.441819
Gibraltar,Eurasia,Europe,Southern Europe,10,34408,0.961,GIB,
Greece,Eurasia,Europe,Southern Europe,131960,10775971,0.870,GRC,18613.42387
Italy,Eurasia,Europe,Southern Europe,301340,60627498,0.880,ITA,31952.97592
Macedonia,Eurasia,Europe,Southern Europe,25710,2081206,0.757,MKD,5414.614823
Malta,Eurasia,Europe,Southern Europe,320,455356,0.878,MLT,26903.82452
Montenegro,Eurasia,Europe,Southern Europe,13810,622303,0.814,MNE,7782.83979
Portugal,Eurasia,Europe,Southern Europe,92225,10325452,0.847,PRT,21136.29721
San Marino,Eurasia,Europe,Southern Europe,60,33203,0.961,SMR,48888.02517
Serbia,Eurasia,Europe,Southern Europe,88360,7058322,0.787,SRB,5900.038108
Slovenia,Eurasia,Europe,Southern Europe,20270,2065042,0.896,SVN,23597.29173
Spain,Eurasia,Europe,Southern Europe,505940,46484062,0.891,ESP,28156.81584
Vatican City,Eurasia,Europe,Southern Europe,,801,,VAT,
Denmark,Eurasia,Europe,Northern Europe,42922,5728010,0.929,DNK,56307.5083
Estonia,Eurasia,Europe,Northern Europe,45230,1315790,0.871,EST,19704.65504
Faroe Islands,Eurasia,Europe,Northern Europe,1396,49117,0.950,FRO,
Finland,Eurasia,Europe,Northern Europe,338420,5495303,0.920,FIN,45703.32787
Iceland,Eurasia,Europe,Northern Europe,103000,335439,0.935,ISL,70056.87339
Ireland,Eurasia,Europe,Northern Europe,70280,4755335,0.938,IRL,69330.69015
Isle of Man,Eurasia,Europe,Northern Europe,570,83737,0.950,IMN,
Latvia,Eurasia,Europe,Northern Europe,64490,1959537,0.847,LVA,15594.28602
Lithuania,Eurasia,Europe,Northern Europe,65286,2868231,0.858,LTU,16680.6781
Norway,Eurasia,Europe,Northern Europe,385178,5234519,0.953,NOR,75504.56626
Sweden,Eurasia,Europe,Northern Europe,447420,9923085,0.933,SWE,53442.00828
UK,Eurasia,Europe,Northern Europe,243610,65595565,0.922,GBR,39720.44343
Belarus,Eurasia,Europe,Eastern Europe,207600,9501534,0.808,BLR,5727.511718
Bulgaria,Eurasia,Europe,Eastern Europe,111000,7127822,0.813,BGR,8227.960406
Czech Republic,Eurasia,Europe,Eastern Europe,78870,10566332,0.888,CZE,20368.13856
Hungary,Eurasia,Europe,Eastern Europe,93030,9814023,0.838,HUN,14224.84646
Poland,Eurasia,Europe,Eastern Europe,312680,37970087,0.865,POL,13863.17788
Moldova,Eurasia,Europe,Eastern Europe,33850,3551954,0.700,MDA,2289.877719
Romania,Eurasia,Europe,Eastern Europe,238390,19702332,0.811,ROU,10817.83379
Russia,Eurasia,Europe,Eastern Europe,17098250,144342396,0.816,RUS,10743.09659
Slovakia,Eurasia,Europe,Eastern Europe,49035,5430798,0.855,SVK,17604.95098
Ukraine,Eurasia,Europe,Eastern Europe,603550,45004645,0.751,UKR,2639.824326
Antarctica,Antarctica,Antarctica,Antarctica,14000000,1000,,ATA,
